字,拼音,IPA,備註
芭,ba1,pa1,
芽,nia2,ȵia2,
芟,sang1,sã1,
芹,qieng2,tɕʰiəŋ2,
芹,jieng2,tɕiəŋ2,
花,hua1,xua1,
芬,hueng1,xuəŋ1,
芥,jie4,tɕie̞4,
芻,cw1,tsʰʮ1,
苧,zw4,tsʮ4,
范,huon4,xuõ̞4,
茅,mo2,mɔ2,
苣,jyu4,tɕy4,
苛,ko3,kʰɔ3,
苦,ku3,kʰu3,
茄,qie2,tɕʰie̞2,
茄,jie2,tɕie̞2,
茄,jia1,tɕia1,
若,raq6,ɻʌʔ6,文白不確定存疑
若,zsuaq6,zuʌʔ6,
茂,mo4,mɔ4,
茉,maq6,mʌʔ6,
苒,rang3,ɻã3,
苗,mio2,miɔ2,
英,yeng1,iəŋ1,
茁,zuaq5,tsuʌʔ5,
苜,maq6,mʌʔ6,
苔,tae2,tʰɛ2,
苑,yue3,yẽ̞3,
苞,bo1,pɔ1,
苓,lieng2,liəŋ2,
苟,gou3,kɤu3,
茫,mang2,mã2,
荒,huon1,xuõ̞1,
荔,li4,li4,
荊,jieng1,tɕiəŋ1,
茸,zsueng2,zuəŋ2,
荐,jie4,tɕie̞4,
草,co3,tsʰɔ3,
茵,yeng1,iəŋ1,
茴,huae2,xuɛ2,
荏,reng3,ɻəŋ3,
茲,zr1,tsɿ1,
茹,zsw2,zʮ2,
茶,ca2,tsʰa2,
茗,mieng3,miəŋ3,
荀,xyueng1,ɕyəŋ1,
茱,cw2,tsʰʮ2,
莎,suo1,suo̞1,
莞,won2,uõ̞2,
莘,sheng1,ʂəŋ1,
荸,baq6,pʌʔ6,
莢,jiaq5,tɕiʌʔ5,
莖,jieng1,tɕiəŋ1,
莽,mang3,mã3,
莫,maq6,mʌʔ6,
莒,jyu3,tɕy3,
莊,zuon1,tsuõ̞1,
莊,zuo1,tsuo̞1,
莓,mae2,mɛ2,
莉,li4,li4,
莠,you3,iɤu3,
荷,ho2,xɔ2,
荷,hei3,xei3,
荷,ho4,xɔ4,
荻,diaq6,tiʌʔ6,
荼,tu2,tʰu2,
菩,pu2,pʰu2,
萃,cuei4,tsʰuei4,
菸,yu4,y4,
萍,pieng2,pʰiəŋ2,
菠,bo1,pɔ1,
菅,jiang1,tɕiã1,
萋,cei1,tsʰei1,
菁,jieng1,tɕiəŋ1,
菁,zei1,tsei1,
華,hua2,xua2,
菱,lieng2,liəŋ2,
菴,ngang1,ŋã1,
著,zw4,tsʮ4,
萊,lae2,lɛ2,
菰,gu1,ku1,
萌,meng2,məŋ2,
菌,jyueng3,tɕyəŋ3,
菽,suaq5,suʌʔ5,
菲,huei1,xuei1,
菊,jyuaq5,tɕyʌʔ5,
萸,yu2,y2,
萎,wei3,uei3,
萄,to2,tʰɔ2,
萄,do2,tɔ2,
菜,cae4,tsʰɛ4,
蒂,di4,ti4,
葷,hueng1,xuəŋ1,
落,laq6,lʌʔ6,
萱,xyue1,ɕyẽ̞1,
葵,kuei2,kʰuei2,
葵,ji2,tɕi2,
葦,wei3,uei3,
葦,yu4,y4,
葫,hu2,xu2,
葫,guaq6,kuʌʔ6,
葉,yaq6,iʌʔ6,
葬,zang4,tsã4,
葛,gaq5,kʌʔ5,
萼,ngaq6,ŋʌʔ6,
萵,wo1,uo̞1,
葡,pu2,pʰu2,
葡,bu2,pu2,
董,dueng3,tuəŋ3,
葩,pa1,pʰa1,
蓉,yueng2,yəŋ2,
蒿,ho1,xɔ1,
蓆,xiaq6,ɕiʌʔ6,
蓄,xyuaq5,ɕyʌʔ5,
蒙,meng2,məŋ2,
蒞,li4,li4,
蒲,pu2,pʰu2,
蒜,suon4,suõ̞4,
蓋,gae4,kɛ4,
蒸,zheng1,tʂəŋ1,
蒸,zhr1,tʂʅ1,
蓀,sueng1,suəŋ1,
蓓,bae4,pɛ4,
蒐,sou1,sɤu1,
蒼,cang1,tsʰã1,
蔗,zhe4,tʂʅɘ4,
蔽,bi4,pi4,
蔚,wei4,uei4,
蓮,lie2,lie̞2,
蔬,sw1,sʮ1,
蔭,yeng4,iəŋ4,
蔓,mang2,mã2,
蔑,miaq6,miʌʔ6,
蔣,jiang1,tɕiã1,
蔡,cae4,tsʰɛ4,
蔔,baq6,pʌʔ6,
蓬,peng2,pʰəŋ2,
蔥,cueng1,tsʰuəŋ1,
蓿,xyuaq5,ɕyʌʔ5,
蕊,zsuei3,zuei3,
蕙,huae4,xuɛ4,
蕈,jieng4,tɕiəŋ4,
蕨,jyuaq5,tɕyʌʔ5,
蕩,dang4,tã4,
蕃,huon2,xuõ̞2,
蕉,jio1,tɕiɔ1,
蕭,xio1,ɕiɔ1,
蕪,wu2,u2,
薪,xieng1,ɕiəŋ1,
薄,baq6,pʌʔ6,
蕾,luae3,luɛ3,
薜,bi4,pi4,
薑,jiang1,tɕiã1,
薑,jyuo1,tɕyo̞1,
薔,qiang2,tɕʰiã2,
薯,sw3,sʮ3,
薛,xiaq5,ɕiʌʔ5,
薇,wei2,uei2,
藏,cang2,tsʰã2,
藏,jyuo2,tɕyo̞2,
薩,saq5,sʌʔ5,
藍,lang2,lã2,
藐,mio3,miɔ3,
藉,jie4,tɕie̞4,
薰,xyueng1,ɕyəŋ1,
藩,huon2,xuõ̞2,
藝,ni4,ȵi4,
藪,sou3,sɤu3,
藕,ngou3,ŋɤu3,
藤,teng2,tʰəŋ2,
藥,yuaq6,yʌʔ6,
藻,zo3,tsɔ3,
藹,ngae4,ŋɛ4,
蘑,mo2,mɔ2,
蘑,mei2,mei2,
藺,lieng4,liəŋ4,
蘆,lou2,lɤu2,
蘋,pieng2,pʰiəŋ2,
蘇,sou1,sɤu1,
蘊,yueng1,yəŋ1,
蘗,niaq6,ȵiʌʔ6,
蘭,lang2,lã2,
蘚,xie3,ɕie̞3,
蘸,zang4,tsã4,
蘿,luo2,luo̞2,
蘿,lei2,lei2,
虎,hu3,xu3,
虐,nyuaq6,ȵyʌʔ6,
虔,qie2,tɕʰie̞2,
處,cw3,tsʰʮ3,
處,cw4,tsʰʮ4,
處,cuaq5,tsʰuʌʔ5,
彪,bio1,piɔ1,
虛,xyu1,ɕy1,
虜,lou3,lɤu3,
虞,yu2,y2,
號,ho2,xɔ2,
號,ho4,xɔ4,
虧,kuei1,kʰuei1,
虫,huei3,xuei3,
虱,shaq5,ʂʌʔ5,
虹,hueng2,xuəŋ2,
蚊,weng2,uəŋ2,
蚪,dou3,tɤu3,
蚓,yeng3,iəŋ3,
蚤,zo3,tsɔ3,
蚩,cr1,tsʰɿ1,
蚌,bang4,pã4,
蚣,gueng1,kuəŋ1,
蛇,she2,ʂʅɘ2,
蛇,che2,tʂʰʅɘ2,
蛀,zw4,tsʮ4,
蚶,gang1,kã1,
蛄,gu1,ku1,
蚵,ho2,xɔ2,
蛆,qyu1,tɕʰy1,
蛋,dang4,tã4,
蚱,zaq5,tsʌʔ5,
蚯,qiou1,tɕʰiɤu1,
蛟,jio1,tɕiɔ1,
蛙,wa1,ua1,
蛭,zhaq5,tʂʌʔ5,
蛔,huae2,xuɛ2,
蛛,zw1,tsʮ1,
蛤,gaq5,kʌʔ5,
蛹,yueng3,yəŋ3,
蜓,tieng2,tʰiəŋ2,
蜈,wu2,u2,
蜇,zhaq5,tʂʌʔ5,
蜀,suaq6,suʌʔ6,
蛾,ngo2,ŋɔ2,
蛻,tuae4,tʰuɛ4,
蜂,hueng1,xuəŋ1,
蜃,sheng4,ʂəŋ4,
蜿,won1,uõ̞1,
蜜,miaq6,miʌʔ6,
蜻,qieng1,tɕʰiəŋ1,
蜢,meng3,məŋ3,
蜥,xiaq5,ɕiʌʔ5,
蜴,yaq6,iʌʔ6,
蜘,zhr1,tʂʅ1,
蝕,shaq6,ʂʌʔ6,
螂,lang2,lã2,
蝴,hu2,xu2,
蝶,diaq6,tiʌʔ6,
蝠,huaq5,xuʌʔ5,
蝦,xia2,ɕia2,
蝸,wa1,ua1,
蝨,shaq5,ʂʌʔ5,
蝙,bie1,pie̞1,
蝗,huon2,xuõ̞2,
蝌,kuo1,kʰuo̞1,
螃,pang2,pʰã2,
螟,mieng2,miəŋ2,
螞,ma3,ma3,
螢,yeng2,iəŋ2,
融,yueng2,yəŋ2,
蟀,suaq5,suʌʔ5,存疑
蟑,zhang1,tʂã1,
螳,tang2,tʰã2,
蟒,mang3,mã3,
蟆,ma2,ma2,
螫,shaq5,ʂʌʔ5,
螻,lou2,lɤu2,
螺,luo2,luo̞2,
螺,lei2,lei2,
蟈,guaq5,kuʌʔ5,
蟋,xiaq5,ɕiʌʔ5,
蟯,ro2,ɻɔ2,
蟬,chang2,tʂʰã2,
蟲,cueng2,tsʰuəŋ2,
蟲,zueng2,tsuəŋ2,
蟻,ni3,ȵi3,
蠅,yeng2,iəŋ2,
蠅,yi2,i2,
蠍,xiaq5,ɕiʌʔ5,
蟹,xie4,ɕie̞4,
蠔,ho2,xɔ2,
蠕,zsw2,zʮ2,
蠣,li4,li4,
蠢,cueng3,tsʰuəŋ3,
蠡,li2,li2,
蠟,laq6,lʌʔ6,
蠱,gu3,ku3,
蠶,cang2,tsʰã2,
蠶,zang2,tsã2,
蠹,du4,tu4,
蠻,mang2,mã2,
血,xyuaq5,ɕyʌʔ5,
行,hang2,xã2,
行,huo2,xuo̞2,
行,xia2,ɕia2,
行,xieng2,ɕiəŋ2,
衍,ye3,ie̞3,
術,suaq6,suʌʔ6,
街,jie1,tɕie̞1,
衙,nia2,ȵia2,
衛,wei4,uei4,
衝,cueng1,tsʰuəŋ1,
衡,heng2,xəŋ2,
衢,qyu2,tɕʰy2,
衣,yi1,i1,
初,cw1,tsʰʮ1,
表,bio3,piɔ3,
衫,sang1,sã1,
衰,cuae1,tsʰuɛ1,
衰,suae1,suɛ1,
衷,zueng1,tsuəŋ1,
袁,yue2,yẽ̞2,
袂,mi4,mi4,
袞,gueng3,kuəŋ3,
袈,jia1,tɕia1,
被,bi4,pi4,
袒,tang3,tʰã3,
袖,xiou4,ɕiɤu4,
袍,po2,pʰɔ2,
袋,dae4,tɛ4,
裁,cae2,tsʰɛ2,
裂,liaq6,liʌʔ6,
袱,huaq6,xuʌʔ6,
裟,sa1,sa1,
裔,yi4,i4,
裙,qyueng2,tɕʰyəŋ2,
補,bu3,pu3,
裘,qiou2,tɕʰiɤu2,
裝,zuon1,tsuõ̞1,
裝,zuo1,tsuo̞1,
裡,li3,li3,
裡,lei3,lei3,
裊,nio3,ȵiɔ3,
裕,yu4,y4,
裳,chang2,tʂʰã2,
裳,suo2,suo̞2,
褂,gua4,kua4,
裴,pae2,pʰɛ2,
裹,guo3,kuo̞3,
裹,guei3,kuei3,
裸,luo3,luo̞3,
製,zhi4,tʂi4,
裨,bi1,pi1,
褚,zw3,tsʮ3,
褐,haq6,xʌʔ6,
複,huaq5,xuʌʔ5,
褒,bo1,pɔ1,
褓,bo3,pɔ3,
褪,tuae4,tʰuɛ4,
褲,ku4,kʰu4,
褥,zsuaq6,zuʌʔ6,
褫,chr3,tʂʰʅ3,
褻,xiaq5,ɕiʌʔ5,
褶,zhaq5,tʂʌʔ5,
襄,xiang1,ɕiã1,
褸,lou2,lɤu2,
襠,dang1,tã1,
襠,duo1,tuo̞1,
襟,jieng1,tɕiəŋ1,
襖,ngo3,ŋɔ3,
襤,lang2,lã2,
襪,waq6,uʌʔ6,
襲,xiaq6,ɕiʌʔ6,
襯,cheng4,tʂʰəŋ4,
西,sei1,sei1,
要,yo4,iɔ4,
覃,tang2,tʰã2,
覆,hu4,xu4,
見,jie4,tɕie̞4,
覓,miaq6,miʌʔ6,
規,ji1,tɕi1,
視,sr4,sɿ4,
親,qieng1,tɕʰiəŋ1,
覦,yu2,y2,
覬,ji4,tɕi4,
覲,jieng4,tɕiəŋ4,
覺,jio4,tɕiɔ4,
覺,jyuaq5,tɕyʌʔ5,
覽,lang3,lã3,
觀,guon1,kuõ̞1,
角,jyuaq5,tɕyʌʔ5,
解,jie3,tɕie̞3,
解,hae4,xɛ4,
解,jie4,tɕie̞4,
觴,shang1,ʂã1,
觸,cuaq5,tsʰuʌʔ5,
言,nie2,ȵie̞2,
計,ji4,tɕi4,
訂,dieng4,tiəŋ4,
訃,hu4,xu4,
記,ji4,tɕi4,
訐,jiaq5,tɕiʌʔ5,
討,to3,tʰɔ3,
訌,hueng4,xuəŋ4,
訕,sang4,sã4,
訊,xieng4,ɕiəŋ4,
託,taq5,tʰʌʔ5,
訓,xyueng4,ɕyəŋ4,
訖,jiaq5,tɕiʌʔ5,
訪,huon4,xuõ̞4,
訝,nia4,ȵia4,
訣,jyuaq5,tɕyʌʔ5,
訥,naq6,ȵʌʔ6,
許,xyu3,ɕy3,
設,shaq5,ʂʌʔ5,
訟,sueng4,suəŋ4,
訛,ngo2,ŋɔ2,
訛,ngie2,ŋie̞2,
註,zw4,tsʮ4,
詠,yueng3,yəŋ3,
評,pieng2,pʰiəŋ2,
詞,cr2,tsʰɿ2,
証,zheng4,tʂəŋ4,
詁,gu3,ku3,
詔,zho4,tʂɔ4,
詛,zw4,tsʮ4,
詐,za4,tsa4,
詆,di3,ti3,
訴,sou4,sɤu4,
診,zheng3,tʂəŋ3,
詫,ca4,tsʰa4,
該,gae1,kɛ1,
詳,xiang2,ɕiã2,
試,sr4,sɿ4,
詩,sr1,sɿ1,
詰,qiaq5,tɕʰiʌʔ5,
誇,kua1,kʰua1,
詼,huae1,xuɛ1,
詣,ni4,ȵi4,
誠,cheng2,tʂʰəŋ2,
話,hua4,xua4,
誅,zw1,tsʮ1,
詭,guei3,kuei3,
詢,xyueng1,ɕyəŋ1,
詮,qyue1,tɕʰyẽ̞1,
詬,gou3,kɤu3,
詹,zhang1,tʂã1,
誦,sueng4,suəŋ4,
誌,zr4,tsɿ4,
語,yu3,y3,
語,nyu3,ȵy3,
誣,wu1,u1,
認,reng4,ɻəŋ4,
誡,jie4,tɕie̞4,
誓,shr4,ʂʅ4,
誤,wu4,u4,
說,suei4,suei4,
說,suaq5,suʌʔ5,
誥,go4,kɔ4,
誨,huae4,xuɛ4,
誘,you4,iɤu4,
誑,kuon2,kʰuõ̞2,
誼,ni4,ȵi4,
諒,liang4,liã4,
談,tang2,tʰã2,
諄,zueng1,tsuəŋ1,
誕,dang4,tã4,
請,qieng3,tɕʰiəŋ3,
諸,zw1,tsʮ1,
課,kuo4,kʰuo̞4,
課,kuei4,kʰuei4,
諉,wei3,uei3,
諂,chang3,tʂʰã3,
調,tio2,tʰiɔ2,
調,dio2,tiɔ2,
調,dio4,tiɔ4,
誰,cuei2,tsʰuei2,
誰,suei2,suei2,
論,lueng2,luəŋ2,
論,lueng4,luəŋ4,
諍,zeng4,tsəŋ4,
諦,di4,ti4,
諺,nie4,ȵie̞4,
諫,jiang4,tɕiã4,
諱,huei4,xuei4,
謀,mu2,mu2,
諜,diaq6,tiʌʔ6,
諧,xie2,ɕie̞2,
諮,zr1,tsɿ1,
諾,naq6,ȵʌʔ6,
謁,yaq5,iʌʔ5,
謂,wei4,uei4,
諷,hueng3,xuəŋ3,
諭,yu4,y4,
謎,mi4,mi4,
謗,bang4,pã4,
謙,qie1,tɕʰie̞1,
講,jiang3,tɕiã3,
謊,huon3,xuõ̞3,
謠,yo2,iɔ2,
謝,xie4,ɕie̞4,
謄,teng2,tʰəŋ2,
謄,deng2,təŋ2,
謨,mu2,mu2,
謹,jieng3,tɕiəŋ3,
謬,mio4,miɔ4,推導音是否存在存疑
譁,hua1,xua1,
譜,pu3,pʰu3,
識,zr4,tsɿ4,
識,shaq5,ʂʌʔ5,
證,zheng4,tʂəŋ4,
譚,tang2,tʰã2,
譎,jyuaq5,tɕyʌʔ5,
譏,ji1,tɕi1,
議,ni4,ȵi4,
譬,pi4,pʰi4,
警,jieng3,tɕiəŋ3,
譯,yaq6,iʌʔ6,
譴,qie3,tɕʰie̞3,
護,hu4,xu4,
譽,yu2,y2,
讀,duaq6,tuʌʔ6,
變,bie4,pie̞4,
讓,rang4,ɻã4,
讒,cang2,tsʰã2,
讖,ceng4,tsʰəŋ4,
讚,zang4,tsã4,
谷,guaq5,kuʌʔ5,
豁,huaq5,xuʌʔ5,
谿,qi1,tɕʰi1,
豆,dou4,tɤu4,
豈,qi3,tɕʰi3,
豉,sr4,sɿ4,
豌,won1,uõ̞1,
豎,sw4,sʮ4,
豐,hueng1,xuəŋ1,
豔,ye4,ie̞4,
豕,sr3,sɿ3,
豚,tueng2,tʰuəŋ2,
象,xiang4,ɕiã4,
豢,huon4,xuõ̞4,
豪,ho2,xɔ2,
豬,zw1,tsʮ1,
豫,yu4,y4,
豺,cae2,tsʰɛ2,
豺,sae2,sɛ2,
豹,bo4,pɔ4,
貂,dio1,tiɔ1,
貊,miaq6,miʌʔ6,
貉,haq6,xʌʔ6,
貍,li2,li2,
貌,mo4,mɔ4,
貓,mo2,mɔ2,
貝,bae4,pɛ4,
貞,zheng1,tʂəŋ1,
負,hu4,xu4,
財,cae2,tsʰɛ2,
貢,gueng4,kuəŋ4,
販,huon4,xuõ̞4,
責,zaq6,tsʌʔ6,
貫,guon1,kuõ̞1,
貨,huo4,xuo̞4,
貨,huei4,xuei4,
貪,tang1,tʰã1,
貧,pieng2,pʰiəŋ2,
貯,zw4,tsʮ4,
貼,tiaq5,tʰiʌʔ5,
貳,er4,ər4,
貽,yi2,i2,
賁,huei2,xuei2,
賁,beng1,pəŋ1,
費,huei4,xuei4,
費,xi4,ɕi4,
賀,ho4,xɔ4,
賀,hei4,xei4,
貴,guei4,kuei4,
買,mae3,mɛ3,
貶,bie3,pie̞3,
貿,mo4,mɔ4,
貸,dae4,tɛ4,
賊,zaq6,tsʌʔ6,
資,zr1,tsɿ1,
賈,gu3,ku3,
賈,jia3,tɕia3,
賄,huae3,xuɛ3,
貲,zr1,tsɿ1,
賃,lieng4,liəŋ4,
賂,lou4,lɤu4,
賅,gae1,kɛ1,
賓,bieng1,piəŋ1,
賑,zheng3,tʂəŋ3,
賒,she1,ʂʅɘ1,
賠,pae2,pʰɛ2,
賠,bae2,pɛ2,
賞,shang3,ʂã3,
賦,hu4,xu4,
賤,jie4,tɕie̞4,
賬,zhang4,tʂã4,
賭,du3,tu3,
賢,xie2,ɕie̞2,
賣,mae4,mɛ4,
賜,sr4,sɿ4,
賜,cr4,tsʰɿ4,
質,zhr4,tʂʅ4,
質,zhaq5,tʂʌʔ5,
賴,lae4,lɛ4,
賺,zuon4,tsuõ̞4,
賽,sae4,sɛ4,
購,gou4,kɤu4,
贅,zuei4,tsuei4,
贈,zeng4,tsəŋ4,
贊,zang4,tsã4,
贏,yeng2,iəŋ2,
贏,yi2,i2,
贍,shang4,ʂã4,
贓,zang1,tsã1,
贖,suaq6,suʌʔ6,
贗,niang4,ȵiã4,
贛,gang3,kã3,
赤,chaq5,tʂʰʌʔ5,
赤,shaq5,ʂʌʔ5,
赧,nzang3,nzã3,
赦,she4,ʂʅɘ4,
赫,haq5,xʌʔ5,
赭,zhe3,tʂʅɘ3,
走,zou3,tsɤu3,
赴,hu4,xu4,
赳,jiou3,tɕiɤu3,
起,qi3,tɕʰi3,
越,yuaq6,yʌʔ6,
超,cho1,tʂʰɔ1,
超,sho4,ʂɔ4,
超,cho4,tʂʰɔ4,
趁,cheng2,tʂʰəŋ2,
趙,zho4,tʂɔ4,
趕,gang3,kã3,
趟,tang4,tʰã4,
趣,qyu4,tɕʰy4,
趨,qyu1,tɕʰy1,
足,jyuaq5,tɕyʌʔ5,
趴,ba2,pa2,實爲爬
趾,zr3,tsɿ3,
跎,tuo2,tʰuo̞2,
距,jyu4,tɕy4,
跋,baq6,pʌʔ6,
跚,sang1,sã1,
跑,po3,pʰɔ3,
跌,diaq5,tiʌʔ5,
跛,bo3,pɔ3,
跆,tae2,tʰɛ2,
跡,jiaq5,tɕiʌʔ5,
跟,geng1,kəŋ1,
跨,kua4,kʰua4,
路,lou4,lɤu4,
跳,tio2,tʰiɔ2,
跺,duo4,tuo̞4,
跺,duei4,tuei4,
跪,kuei4,kʰuei4,
跼,jyuaq6,tɕyʌʔ6,
踐,jie4,tɕie̞4,
踝,huae2,xuɛ2,
踢,tiaq5,tʰiʌʔ5,
踏,taq5,tʰʌʔ5,
踩,cae3,tsʰɛ3,
踟,chr2,tʂʰʅ2,
蹄,ti2,tʰi2,
蹄,di2,ti2,
踱,daq6,tʌʔ6,
踴,yueng3,yəŋ3,
蹂,rou2,ɻɤu2,
踹,cuae4,tsʰuɛ4,
踵,zueng3,tsuəŋ3,
蹉,cuo1,tsʰuo̞1,
蹋,daq6,tʌʔ6,
蹈,do3,tɔ3,
蹊,xi2,ɕi2,
蹙,jyuaq5,tɕyʌʔ5,
蹣,pang2,pʰã2,
蹦,beng4,pəŋ4,
蹤,zueng1,tsuəŋ1,
蹼,paq5,pʰʌʔ5,
蹲,dueng1,tuəŋ1,
躇,cw2,tsʰʮ2,
蹶,jyuaq5,tɕyʌʔ5,
蹬,deng4,təŋ4,
蹬,deng1,təŋ1,
蹺,qio1,tɕʰiɔ1,
蹺,qio4,tɕʰiɔ4,
躉,dueng3,tuəŋ3,
躁,zo4,tsɔ4,
躅,zuaq6,tsuʌʔ6,
躂,taq5,tʰʌʔ5,
躊,chou2,tʂʰɤu2,
躍,yuaq6,yʌʔ6,
躑,zhaq6,tʂʌʔ6,
躡,nraq6,ɳʌʔ6,
躪,lieng4,liəŋ4,
身,sheng1,ʂəŋ1,
躬,gueng1,kuəŋ1,
躲,duo3,tuo̞3,
躲,duei3,tuei3,
躺,tang3,tʰã3,
軀,qyu1,tɕʰy1,
車,jyu1,tɕy1,
車,che1,tʂʰʅɘ1,
軋,ngaq5,ŋʌʔ5,
軍,jyueng1,tɕyəŋ1,
軌,guei3,kuei3,
軒,xyue1,ɕyẽ̞1,
軔,reng4,ɻəŋ4,
軛,ngaq5,ŋʌʔ5,
軟,zsuon3,zuõ̞3,
軻,ko1,kʰɔ1,
軸,zuaq6,tsuʌʔ6,
軼,yaq6,iʌʔ6,
較,jio3,tɕiɔ3,
載,zae3,tsɛ3,zae4
軾,shaq5,ʂʌʔ5,
輊,zhr4,tʂʅ4,
輔,hu3,xu3,
輒,zhaq5,tʂʌʔ5,
輕,qieng1,tɕʰiəŋ1,
輓,won3,uõ̞3,
輝,huae1,xuɛ1,
輛,liang4,liã4,
輟,cuaq5,tsʰuʌʔ5,
輩,bae4,pɛ4,
輦,nie3,ȵie̞3,
輪,lueng2,luəŋ2,
輜,zr1,tsɿ1,
輻,huaq5,xuʌʔ5,
輯,jiaq6,tɕiʌʔ6,
輸,sw1,sʮ1,
轄,haq6,xʌʔ6,
輾,nrang3,ɳã3,
轂,guaq5,kuʌʔ5,
轅,yue2,yẽ̞2,
輿,yu2,y2,
轉,zuon3,tsuõ̞3,
轉,zuon4,tsuõ̞4,
轍,zhaq6,tʂʌʔ6,
轔,lieng2,liəŋ2,
轎,jio4,tɕiɔ4,
轟,hueng1,xuəŋ1,
轡,bi4,pi4,
辛,xieng1,ɕiəŋ1,
辜,gu1,ku1,
辟,piaq5,pʰiʌʔ5,
辟,biaq5,piʌʔ5,
辣,laq6,lʌʔ6,
辨,bie4,pie̞4,
辦,bang4,pã4,
辭,cr2,tsʰɿ2,
辯,bie4,pie̞4,
辰,cheng2,tʂʰəŋ2,
辱,zsuaq6,zuʌʔ6,
農,neng2,ȵəŋ2,
迂,yu2,y2,
迆,yi2,i2,
迅,xieng4,ɕiəŋ4,
迄,qiaq5,tɕʰiʌʔ5,
巡,xyueng2,ɕyəŋ2,
迎,yeng2,iəŋ2,
返,huon3,xuõ̞3,
近,jieng4,tɕiəŋ4,
述,suaq6,suʌʔ6,
